"Player","Source","Target","Value"
"Robin Zentner","Holstein Kiel","1.FSV Mainz 05","Loan End"
"Pierre Bengtsson","SC Bastia","1.FSV Mainz 05","Loan End"
"Viktor Fischer","1.FSV Mainz 05","FC Copenhagen","2700000"
"Fabian Frei","1.FSV Mainz 05","FC Basel 1893","1500000"
"Pierre Bengtsson","1.FSV Mainz 05","FC Copenhagen","1000000"
"Jairo Samperio","1.FSV Mainz 05","UD Las Palmas","350000"
"Aaron Seydel","1.FSV Mainz 05","Holstein Kiel","Loan fee:0"
"Marcel Costly","1.FSV Mainz 05","1.FC Magdeburg","?"
"Todor Nedelev","1.FSV Mainz 05","Botev Plovdiv","?"
"Kenan Kodro","1.FSV Mainz 05","Grasshopper Club Zurich","Loan fee:0"
"Besar Halimi","1.FSV Mainz 05","Bröndby IF","Loan fee:0"
"Jonas Lössl","1.FSV Mainz 05","Huddersfield Town","Loan fee:0"
"José Rodríguez","1.FSV Mainz 05","Maccabi Tel Aviv","Loan fee:0"
"Philipp Klement","1.FSV Mainz 05","SC Paderborn 07","?"
"Jannik Huth","1.FSV Mainz 05","Sparta Rotterdam","Loan fee:0"
"Devante Parker","1.FSV Mainz 05","SKN St. Pölten","Loan fee:0"
"Bojan Krkic","1.FSV Mainz 05","Stoke City","Loan End"
"Landry Dimata","KV Oostende","VfL Wolfsburg","10000000"
"Ignacio Camacho","Málaga CF","VfL Wolfsburg","10000000"
"Divock Origi","Liverpool FC","VfL Wolfsburg","Loan fee:6500000"
"William","Sport Club Internacional","VfL Wolfsburg","5000000"
"Marcel Tisserand","FC Ingolstadt 04","VfL Wolfsburg","Loan fee:3000000"
"Marvin Stefaniak","SG Dynamo Dresden","VfL Wolfsburg","2000000"
"Renato Steffen","FC Basel 1893","VfL Wolfsburg","1750000"
"Ohis Felix Uduokhai","TSV 1860 Munich","VfL Wolfsburg","1000000"
"Carlos Ascues","FBC Melgar","VfL Wolfsburg","Loan End"
"Josip Brekalo","VfB Stuttgart","VfL Wolfsburg","Loan End"
"Moritz Sprenger","1.FC Magdeburg","VfL Wolfsburg","Loan End"
"Patrick Drewes","Preußen Münster ","VfL Wolfsburg","Loan End"
"Francisco Rodríguez","FC Luzern","VfL Wolfsburg","Loan End"
"Leandro Putaro","Arminia Bielefeld","VfL Wolfsburg","Loan End"
"Ricardo Rodríguez","VfL Wolfsburg","AC Milan","18000000"
"Luiz Gustavo","VfL Wolfsburg","Olympique Marseille","10000000"
"Mario Gómez","VfL Wolfsburg","VfB Stuttgart","3000000"
"Vieirinha","VfL Wolfsburg","PAOK Thessaloniki","1000000"
"Diego Benaglio","VfL Wolfsburg","AS Monaco","0"
"Christian Träsch","VfL Wolfsburg","FC Ingolstadt 04","?"
"Paul-Georges Ntep","VfL Wolfsburg","AS Saint-Étienne","Loan fee:0"
"Carlos Ascues","VfL Wolfsburg","Alianza Lima","?"
"Amara Condé","VfL Wolfsburg","Holstein Kiel","Loan fee:0"
"Leandro Putaro","VfL Wolfsburg","Arminia Bielefeld","?"
"Ismail Azzaoui","VfL Wolfsburg","Willem II Tilburg","Loan fee:0"
"Marvin Stefaniak","VfL Wolfsburg","1.FC Nuremberg","Loan fee:0"
"Patrick Drewes","VfL Wolfsburg","Würzburger Kickers","?"
"Paul Seguin","VfL Wolfsburg","SG Dynamo Dresden","Loan fee:0"
"Kaylen Hinds","VfL Wolfsburg","SpVgg Greuther Fürth","Loan fee:0"
"Francisco Rodríguez","VfL Wolfsburg","FC Luzern","?"
"Ashkan Dejagah","VfL Wolfsburg","Free agent","0"
"Philipp Wollscheid","VfL Wolfsburg","Stoke City","Loan End"
"Borja Mayoral","VfL Wolfsburg","Real Madrid","Loan End"
"Chadrac Akolo","FC Sion","VfB Stuttgart","6000000"
"Santiago Ascacíbar","Estudiantes de La Plata","VfB Stuttgart","5950000"
"Anastasios Donis","Juventus FC","VfB Stuttgart","4000000"
"Ron-Robert Zieler","Leicester City","VfB Stuttgart","4000000"
"Andreas Beck","Besiktas JK","VfB Stuttgart","2500000"
"Orel Mangala","RSC Anderlecht Reserve","VfB Stuttgart","1800000"
"Ailton","GD Estoril Praia","VfB Stuttgart","1000000"
"Alexander Meyer","FC Energie Cottbus","VfB Stuttgart","400000"
"Toni Sunjic","US Palermo","VfB Stuttgart","Loan End"
"Borys Tashchy","FC Zbrojovka Brno","VfB Stuttgart","Loan End"
"Toni Sunjic","VfB Stuttgart","Dinamo Moscow","700000"
"Mitchell Langerak","VfB Stuttgart","Levante UD","600000"
"Florian Klein","VfB Stuttgart","Austria Vienna","0"
